Evento,Data,Local,Lutador_1,Lutador_2,Categoria,Disputa_Cinturao,Metodo,Round,Tempo,Tempo_Segundos
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Justin Gaethje,Paddy Pimblett,Lightweight,1,U-DEC,5,5:00,300
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Ateba Gautier,Andrey Pulyaev,Middleweight,0,U-DEC,3,5:00,300
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Sean O'Malley,Song Yadong,Bantamweight,0,U-DEC,3,5:00,300
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Ty Miller,Adam Fugitt,Welterweight,0,KO/TKO Punches,1,4:59,299
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Josh Hokit,Denzel Freeman,Heavyweight,0,KO/TKO Punches,1,4:59,299
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Nikita Krylov,Modestas Bukauskas,Light Heavyweight,0,KO/TKO Punch,3,4:57,297
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Alex Perez,Charles Johnson,Flyweight,0,KO/TKO Punch,1,3:16,196
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Umar Nurmagomedov,Deiveson Figueiredo,Bantamweight,0,U-DEC,3,5:00,300
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Jean Silva,Arnold Allen,Featherweight,0,U-DEC,3,5:00,300
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Natalia Silva,Rose Namajunas,Women's Flyweight,0,U-DEC,3,5:00,300
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Waldo Cortes Acosta,Derrick Lewis,Heavyweight,0,KO/TKO Punches,2,3:14,194
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Yaroslav Amosov,Neil Magny,Welterweight,0,SUB Anaconda Choke,1,3:14,194
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Jamey-Lyn Horth,Tereza Bleda,Women's Flyweight,0,KO/TKO Punches,1,2:05,125
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Guilherme Pat,Allen Frye Jr.,Heavyweight,0,U-DEC,3,5:00,300
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Luana Santos,Melissa Croden,Women's Bantamweight,0,U-DEC,3,5:00,300
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Steven Asplund,Sean Sharaf,Heavyweight,0,KO/TKO Punches,2,3:49,229
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Joanderson Brito,Isaac Thomson,Featherweight,0,U-DEC,3,5:00,300
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Melquizael Costa,Morgan Charriere,Featherweight,0,KO/TKO Kick,1,1:14,74
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",King Green,Lance Gibson Jr.,Catch Weight,0,S-DEC,3,5:00,300
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Kennedy Nzechukwu,Marcus Buchecha,Heavyweight,0,U-DEC,3,5:00,300
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Cezary Oleksiejczuk,Cesar Almeida,Middleweight,0,U-DEC,3,5:00,300
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Kevin Vallejos,Giga Chikadze,Featherweight,0,KO/TKO Spinning Back Fist,2,1:29,89
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Manel Kape,Brandon Royval,Flyweight,0,KO/TKO Punches,1,3:18,198
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Maycee Barber,Karine Silva,Women's Flyweight,0,U-DEC,3,5:00,300
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Mairon Santos,Muhammad Naimov,Featherweight,0,KO/TKO Punches,3,0:21,21
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Iwo Baraniewski,Ibo Aslan,Light Heavyweight,0,KO/TKO Punches,1,1:29,89
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Jalin Turner,Edson Barboza,Lightweight,0,KO/TKO Punches,1,2:24,144
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Brunno Ferreira,Marvin Vettori,Middleweight,0,U-DEC,3,5:00,300
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Fares Ziam,Nazim Sadykhov,Lightweight,0,KO/TKO Punches,2,4:59,299
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Mansur Abdul-Malik,Antonio Trocoli,Middleweight,0,SUB Guillotine Choke,1,1:09,69
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Chris Duncan,Terrance McKinney,Lightweight,0,SUB Anaconda Choke,1,2:30,150
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Jan Blachowicz,Bogdan Guskov,Light Heavyweight,0,M-DEC,3,5:00,300
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Payton Talbott,Henry Cejudo,Bantamweight,0,U-DEC,3,5:00,300
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Tatsuro Taira,Brandon Moreno,Flyweight,0,KO/TKO Punches,2,2:24,144
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Petr Yan,Merab Dvalishvili,Bantamweight,1,U-DEC,5,5:00,300
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Joshua Van,Alexandre Pantoja,Flyweight,1,KO/TKO,1,0:26,26
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Manuel Torres,Grant Dawson,Lightweight,0,KO/TKO Punch,1,2:25,145
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Nicolas Dalby,Saygid Izagakhmaev,Welterweight,0,S-DEC,3,5:00,300
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Nurullo Aliev,Shem Rock,Lightweight,0,U-DEC,3,5:00,300
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Ismail Naurdiev,Ryan Loder,Middleweight,0,KO/TKO Punch,1,1:26,86
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Aleksandre Topuria,Bekzat Almakhan,Bantamweight,0,U-DEC,3,5:00,300
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Abdul Rakhman Yakhyaev,Rafael Cerqueira,Light Heavyweight,0,SUB Rear Naked Choke,1,0:33,33
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Asu Almabayev,Alex Perez,Flyweight,0,SUB Guillotine Choke,3,0:22,22
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Denzel Freeman,Marek Bujlo,Heavyweight,0,U-DEC,3,5:00,300
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Luke Riley,Bogdan Grad,Featherweight,0,KO/TKO Punches,2,0:30,30
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Waldo Cortes Acosta,Shamil Gaziev,Heavyweight,0,KO/TKO Punch,1,1:22,82
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Myktybek Orolbai,Jack Hermansson,Welterweight,0,KO/TKO Punch,1,2:46,166
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Volkan Oezdemir,Alonzo Menifield,Light Heavyweight,0,KO/TKO Punches,1,1:27,87
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Ian Machado Garry,Belal Muhammad,Welterweight,0,U-DEC,3,5:00,300
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Arman Tsarukyan,Dan Hooker,Lightweight,0,SUB Arm Triangle,2,3:34,214
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Kyoji Horiguchi,Tagir Ulanbekov,Flyweight,0,SUB Rear Naked Choke,3,2:18,138
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Erin Blanchfield,Tracy Cortez,Women's Flyweight,0,SUB Rear Naked Choke,2,4:44,284
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Matheus Camilo,Viacheslav Borshchev,Lightweight,0,U-DEC,3,5:00,300
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Baisangur Susurkaev,Eric McConico,Middleweight,0,KO/TKO Punch,3,1:38,98
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Fatima Kline,Angela Hill,Women's Strawweight,0,U-DEC,3,5:00,300
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Pat Sabatini,Chepe Mariscal,Featherweight,0,U-DEC,3,5:00,300
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Kyle Daukaus,Gerald Meerschaert,Middleweight,0,SUB D'Arce Choke,1,0:50,50
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Ethyn Ewing,Malcolm Wellmaker,Featherweight,0,U-DEC,3,5:00,300
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Gregory Rodrigues,Roman Kopylov,Middleweight,0,U-DEC,3,5:00,300
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Bo Nickal,Rodolfo Vieira,Middleweight,0,KO/TKO Kick,3,2:24,144
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Benoit Saint Denis,Beneil Dariush,Lightweight,0,KO/TKO Punch,1,0:16,16
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Carlos Prates,Leon Edwards,Welterweight,0,KO/TKO Punch,2,1:28,88
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Michael Morales,Sean Brady,Welterweight,0,KO/TKO Punches,1,3:27,207
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Valentina Shevchenko,Zhang Weili,Women's Flyweight,1,U-DEC,5,5:00,300
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Islam Makhachev,Jack Della Maddalena,Welterweight,1,U-DEC,5,5:00,300
UFC Fight Night: Bonfim vs. Brown,2025-11-08,"Las Vegas, Nevada, USA",Raoni Barcelos,Ricky Simon,Bantamweight,0,U-DEC,3,5:00,300
UFC Fight Night: Bonfim vs. Brown,2025-11-08,"Las Vegas, Nevada, USA",Zach Reese,Jackson McVey,Catch Weight,0,SUB Rear Naked Choke,2,1:38,98
UFC Fight Night: Bonfim vs. Brown,2025-11-08,"Las Vegas, Nevada, USA",Daniel Marcos,Miles Johns,Bantamweight,0,SUB Rear Naked Choke,2,4:23,263
UFC Fight Night: Bonfim vs. Brown,2025-11-08,"Las Vegas, Nevada, USA",Denise Gomes,Tecia Pennington,Women's Strawweight,0,U-DEC,3,5:00,300
UFC Fight Night: Bonfim vs. Brown,2025-11-08,"Las Vegas, Nevada, USA",Josh Hokit,Max Gimenis,Heavyweight,0,KO/TKO Punches,1,0:56,56
UFC Fight Night: Bonfim vs. Brown,2025-11-08,"Las Vegas, Nevada, USA",Jacqueline Cavalcanti,Mayra Bueno Silva,Women's Bantamweight,0,U-DEC,3,5:00,300
UFC Fight Night: Bonfim vs. Brown,2025-11-08,"Las Vegas, Nevada, USA",Uros Medic,Muslim Salikhov,Welterweight,0,KO/TKO Punch,1,1:03,63
UFC Fight Night: Bonfim vs. Brown,2025-11-08,"Las Vegas, Nevada, USA",Jamall Emmers,Hyder Amil,Featherweight,0,U-DEC,3,5:00,300
UFC Fight Night: Bonfim vs. Brown,2025-11-08,"Las Vegas, Nevada, USA",Chris Padilla,Ismael Bonfim,Lightweight,0,KO/TKO Punches,2,4:30,270
UFC Fight Night: Bonfim vs. Brown,2025-11-08,"Las Vegas, Nevada, USA",Gabriel Bonfim,Randy Brown,Welterweight,0,KO/TKO Knee,2,1:40,100
UFC Fight Night: Bonfim vs. Brown,2025-11-08,"Las Vegas, Nevada, USA",Joseph Morales,Matt Schnell,Flyweight,0,SUB Guillotine Choke,1,2:54,174
UFC Fight Night: Bonfim vs. Brown,2025-11-08,"Las Vegas, Nevada, USA",Christian Leroy Duncan,Marco Tulio,Middleweight,0,KO/TKO Punch,2,3:20,200
UFC Fight Night: Garcia vs. Onama,2025-11-01,"Las Vegas, Nevada, USA",Billy Elekana,Kevin Christian,Light Heavyweight,0,SUB Rear Naked Choke,1,3:33,213
UFC Fight Night: Garcia vs. Onama,2025-11-01,"Las Vegas, Nevada, USA",Talita Alencar,Ariane Carnelossi,Women's Strawweight,0,SUB Rear Naked Choke,3,4:36,276
UFC Fight Night: Garcia vs. Onama,2025-11-01,"Las Vegas, Nevada, USA",Seokhyeon Ko,Phil Rowe,Welterweight,0,U-DEC,3,5:00,300
UFC Fight Night: Garcia vs. Onama,2025-11-01,"Las Vegas, Nevada, USA",Alice Ardelean,Montserrat Conejo Ruiz,Women's Strawweight,0,U-DEC,3,5:00,300
UFC Fight Night: Garcia vs. Onama,2025-11-01,"Las Vegas, Nevada, USA",Norma Dumont,Ketlen Vieira,Women's Bantamweight,0,S-DEC,3,5:00,300
UFC Fight Night: Garcia vs. Onama,2025-11-01,"Las Vegas, Nevada, USA",Donte Johnson,Sedriques Dumas,Middleweight,0,SUB Guillotine Choke,2,1:25,85
UFC Fight Night: Garcia vs. Onama,2025-11-01,"Las Vegas, Nevada, USA",Timmy Cuamba,ChangHo Lee,Bantamweight,0,U-DEC,3,5:00,300
UFC Fight Night: Garcia vs. Onama,2025-11-01,"Las Vegas, Nevada, USA",Allan Nascimento,Cody Durden,Catch Weight,0,SUB Anaconda Choke,2,3:13,193
UFC Fight Night: Garcia vs. Onama,2025-11-01,"Las Vegas, Nevada, USA",Charles Radtke,Daniel Frunza,Welterweight,0,SUB Rear Naked Choke,3,4:29,269
UFC Fight Night: Garcia vs. Onama,2025-11-01,"Las Vegas, Nevada, USA",Yadier del Valle,Isaac Dulgarian,Featherweight,0,SUB Rear Naked Choke,1,3:41,221
UFC Fight Night: Garcia vs. Onama,2025-11-01,"Las Vegas, Nevada, USA",Jeremiah Wells,Themba Gorimbo,Welterweight,0,U-DEC,3,5:00,300
UFC Fight Night: Garcia vs. Onama,2025-11-01,"Las Vegas, Nevada, USA",Waldo Cortes Acosta,Ante Delija,Heavyweight,0,KO/TKO Punch,1,3:59,239
UFC Fight Night: Garcia vs. Onama,2025-11-01,"Las Vegas, Nevada, USA",Steve Garcia,David Onama,Featherweight,0,KO/TKO Punches,1,3:34,214
UFC 321: Aspinall vs. Gane,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Ludovit Klein,Mateusz Rebecki,Lightweight,0,M-DEC,3,5:00,300
UFC 321: Aspinall vs. Gane,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Mizuki,Jaqueline Amorim,Women's Strawweight,0,U-DEC,3,5:00,300
UFC 321: Aspinall vs. Gane,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Mitch Raposo,Azat Maksum,Flyweight,0,U-DEC,3,5:00,300
UFC 321: Aspinall vs. Gane,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Hamdy Abdelwahab,Chris Barnett,Heavyweight,0,U-DEC,3,5:00,300
UFC 321: Aspinall vs. Gane,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Nathaniel Wood,Jose Delgado,Featherweight,0,U-DEC,3,5:00,300
UFC 321: Aspinall vs. Gane,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Valter Walker,Louie Sutherland,Heavyweight,0,SUB Heel Hook,1,1:24,84
UFC 321: Aspinall vs. Gane,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Tom Aspinall,Ciryl Gane,Heavyweight,1,CNC,1,4:35,275
UFC 321: Aspinall vs. Gane,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Ikram Aliskerov,JunYong Park,Middleweight,0,U-DEC,3,5:00,300
UFC 321: Aspinall vs. Gane,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Quillan Salkilld,Nasrat Haqparast,Lightweight,0,KO/TKO Kick,1,2:30,150
UFC 321: Aspinall vs. Gane,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Azamat Murzakanov,Aleksandar Rakic,Light Heavyweight,0,KO/TKO Punch,1,3:11,191
UFC 321: Aspinall vs. Gane,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Alexander Volkov,Jailton Almeida,Heavyweight,0,S-DEC,3,5:00,300
UFC 321: Aspinall vs. Gane,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Umar Nurmagomedov,Mario Bautista,Bantamweight,0,U-DEC,3,5:00,300
UFC 321: Aspinall vs. Gane,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Mackenzie Dern,Virna Jandiroba,Women's Strawweight,1,U-DEC,5,5:00,300
UFC Fight Night: De Ridder vs. Allen,2025-10-18,"Vancouver, British Columbia, Canada",Aoriqileng,Cody Gibson,Bantamweight,0,KO/TKO Punch,1,0:21,21
UFC Fight Night: De Ridder vs. Allen,2025-10-18,"Vancouver, British Columbia, Canada",Melissa Croden,Tainara Lisboa,Women's Bantamweight,0,KO/TKO Punches,3,4:32,272
UFC Fight Night: De Ridder vs. Allen,2025-10-18,"Vancouver, British Columbia, Canada",Yousri Belgaroui,Azamat Bekoev,Middleweight,0,KO/TKO Punches,3,0:55,55
UFC Fight Night: De Ridder vs. Allen,2025-10-18,"Vancouver, British Columbia, Canada",Stephanie Luciano,Ravena Oliveira,Women's Strawweight,0,SUB Rear Naked Choke,3,2:50,170
UFC Fight Night: De Ridder vs. Allen,2025-10-18,"Vancouver, British Columbia, Canada",Djorden Santos,Danny Barlow,Middleweight,0,U-DEC,3,5:00,300
UFC Fight Night: De Ridder vs. Allen,2025-10-18,"Vancouver, British Columbia, Canada",Bruno Silva,HyunSung Park,Flyweight,0,SUB Rear Naked Choke,3,2:15,135
UFC Fight Night: De Ridder vs. Allen,2025-10-18,"Vancouver, British Columbia, Canada",Brendan Allen,Reinier de Ridder,Middleweight,0,KO/TKO,4,5:00,300
UFC Fight Night: De Ridder vs. Allen,2025-10-18,"Vancouver, British Columbia, Canada",Drew Dober,Kyle Prepolec,Lightweight,0,KO/TKO Punches,3,1:16,76
UFC Fight Night: De Ridder vs. Allen,2025-10-18,"Vancouver, British Columbia, Canada",Kyle Nelson,Matt Frevola,Lightweight,0,U-DEC,3,5:00,300
UFC Fight Night: De Ridder vs. Allen,2025-10-18,"Vancouver, British Columbia, Canada",Charles Jourdain,Davey Grant,Bantamweight,0,SUB Guillotine Choke,1,3:05,185
UFC Fight Night: De Ridder vs. Allen,2025-10-18,"Vancouver, British Columbia, Canada",Manon Fiorot,Jasmine Jasudavicius,Women's Flyweight,0,KO/TKO Punches,1,1:14,74
UFC Fight Night: De Ridder vs. Allen,2025-10-18,"Vancouver, British Columbia, Canada",Aiemann Zahabi,Marlon Vera,Bantamweight,0,S-DEC,3,5:00,300
UFC Fight Night: De Ridder vs. Allen,2025-10-18,"Vancouver, British Columbia, Canada",Mike Malott,Kevin Holland,Welterweight,0,U-DEC,3,5:00,300
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Luan Lacerda,Saimon Oliveira,Bantamweight,0,SUB Armbar,2,3:55,235
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Julia Polastri,Karolina Kowalkiewicz,Women's Strawweight,0,KO/TKO Punches,3,2:56,176
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Lucas Rocha,Stewart Nicoll,Flyweight,0,U-DEC,3,5:00,300
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Bia Mesquita,Irina Alekseeva,Women's Bantamweight,0,SUB Rear Naked Choke,2,2:14,134
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Vitor Petrino,Thomas Petersen,Heavyweight,0,KO/TKO Punch,3,0:26,26
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Jafel Filho,Clayton Carpenter,Flyweight,0,SUB Kimura,1,4:42,282
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Michael Aswell Jr.,Lucas Almeida,Featherweight,0,KO/TKO Punches,1,1:42,102
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Kaan Ofli,Ricardo Ramos,Featherweight,0,SUB Rear Naked Choke,1,3:02,182
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Mario Pinto,Jhonata Diniz,Heavyweight,0,KO/TKO Punches,2,4:10,250
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Joel Alvarez,Vicente Luque,Welterweight,0,U-DEC,3,5:00,300
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Deiveson Figueiredo,Montel Jackson,Bantamweight,0,S-DEC,3,5:00,300
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Charles Oliveira,Mateusz Gamrot,Lightweight,0,SUB Rear Naked Choke,2,2:48,168
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA",Jakub Wiklacz,Patchy Mix,Bantamweight,0,S-DEC,3,5:00,300
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA",Veronica Hardy,Brogan Walker,Women's Flyweight,0,U-DEC,3,5:00,300
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA",Ramiz Brahimaj,Austin Vanderford,Welterweight,0,SUB Guillotine Choke,2,2:24,144
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA",Farid Basharat,Chris Gutierrez,Bantamweight,0,U-DEC,3,5:00,300
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA",Yana Santos,Macy Chiasson,Women's Bantamweight,0,U-DEC,3,5:00,300
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA",Punahele Soriano,Nikolay Veretennikov,Welterweight,0,U-DEC,3,5:00,300
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA",Edmen Shahbazyan,Andre Muniz,Middleweight,0,KO/TKO Elbows,1,4:58,298
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA",Daniel Santos,JooSang Yoo,Catch Weight,0,KO/TKO Punch,2,0:21,21
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA",Ateba Gautier,Tre'ston Vines,Middleweight,0,KO/TKO Punches,1,1:41,101
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA",Joe Pyfer,Abus Magomedov,Middleweight,0,SUB Rear Naked Choke,2,1:46,106
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA",Youssef Zalal,Josh Emmett,Featherweight,0,SUB Armbar,1,1:38,98
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA",Jiri Prochazka,Khalil Rountree Jr.,Light Heavyweight,0,KO/TKO Punches,3,3:04,184
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA",Merab Dvalishvili,Cory Sandhagen,Bantamweight,1,U-DEC,5,5:00,300
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA",Alex Pereira,Magomed Ankalaev,Light Heavyweight,1,KO/TKO Elbows,1,1:20,80
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,"Perth, Western Australia, Australia",Cam Rowston,Andre Petroski,Middleweight,0,KO/TKO Punches,1,2:41,161
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,"Perth, Western Australia, Australia",Alexia Thainara,Loma Lookboonmee,Women's Strawweight,0,U-DEC,3,5:00,300
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,"Perth, Western Australia, Australia",Brando Pericic,Elisha Ellison,Heavyweight,0,KO/TKO Punches,1,1:55,115
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,"Perth, Western Australia, Australia",Michelle Montague,Luana Carolina,Women's Bantamweight,0,U-DEC,3,5:00,300
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,"Perth, Western Australia, Australia",Colby Thicknesse,Josias Musasa,Bantamweight,0,U-DEC,3,5:00,300
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,"Perth, Western Australia, Australia",Jamie Mullarkey,Rolando Bedoya,Lightweight,0,U-DEC,3,5:00,300
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,"Perth, Western Australia, Australia",Navajo Stirling,Rodolfo Bellato,Light Heavyweight,0,U-DEC,3,5:00,300
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,"Perth, Western Australia, Australia",Tom Nolan,Charlie Campbell,Lightweight,0,SUB Rear Naked Choke,1,4:08,248
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,"Perth, Western Australia, Australia",Neil Magny,Jake Matthews,Welterweight,0,SUB D'Arce Choke,3,3:08,188
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,"Perth, Western Australia, Australia",Jack Jenkins,Ramon Taveras,Featherweight,0,U-DEC,3,5:00,300
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,"Perth, Western Australia, Australia",Jimmy Crute,Ivan Erslan,Light Heavyweight,0,SUB Rear Naked Choke,1,3:19,199
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,"Perth, Western Australia, Australia",Carlos Ulberg,Dominick Reyes,Light Heavyweight,0,KO/TKO Punches,1,4:27,267
UFC Fight Night: Lopes vs. Silva,2025-09-13,"San Antonio, Texas, USA",Joaquim Silva,Claudio Puelles,Lightweight,0,S-DEC,3,5:00,300
UFC Fight Night: Lopes vs. Silva,2025-09-13,"San Antonio, Texas, USA",Daniil Donchenko,Rodrigo Sezinando,Welterweight,1,KO/TKO Punches,1,4:27,267
